R2,69.18,12.40,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,162.34,3.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,92.52,60.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,153.23,46.32,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,153.27,47.76,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,125.16,42.61,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,73.38,9.76,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,75.74,15.40,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,30.20,48.56,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,37.00,29.28,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,32.30,29.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,27.40,29.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,68.10,33.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.02,108.45,180.00,BUTTON_CUSYOMV1.,MYBUTTON
R_BOOT,19.84,107.38,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,91.37,50.70,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.07,107.47,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,70.38,33.91,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,44.72,107.36,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,159.90,7.90,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,69.51,9.38,0.00,,SJ
TP1,11.96,68.58,0.00,TPTP20R,TP20R
TP10,110.83,12.10,0.00,TPTP20R,TP20R
TP11,102.34,17.68,0.00,TPTP20R,TP20R
TP12,106.98,12.20,0.00,TPTP20R,TP20R
TP13,102.13,12.20,0.00,TPTP20R,TP20R
TP14,126.68,51.40,0.00,TPTP20R,TP20R
TP15,82.03,68.00,0.00,TPTP20R,TP20R
TP16,9.68,42.20,0.00,TPTP20R,TP20R
TP17,106.63,17.70,0.00,TPTP20R,TP20R
TP2,15.68,68.58,0.00,TPTP20R,TP20R
TP3,141.50,47.68,0.00,TPTP20R,TP20R
TP4,126.62,55.28,0.00,TPTP20R,TP20R
TP5,140.64,52.28,0.00,TPTP20R,TP20R
TP6,11.66,75.48,0.00,TPTP20R,TP20R
TP7,8.18,75.48,0.00,TPTP20R,TP20R
TP8,4.40,75.48,0.00,TPTP20R,TP20R
TP9,110.82,17.68,0.00,TPTP20R,TP20R
U1,37.94,57.55,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.45,55.93,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,82.70,56.49,0.00,DS3231SN#,SOIC127P1032X265-16N
U4,137.53,47.81,0.00,MAX17048G+T10,SON50P200X200X80-9N
